Product_ID,Category,Price,Cost_Price,Competitor_Price,Discount,Marketing_Spend,Season,Holiday,Demand,Revenue,Profit
P100059,Sports,1047.21,515.32,946.84,12.2,2977.3,Winter,0,154,161270.34,81911.06
P100060,Groceries,288.97,219.95,278.77,21.3,17133.7,Monsoon,0,578,167024.66,39893.56
P100061,Sports,1194.68,644.46,1372.02,35.3,17122.41,Winter,1,348,415748.64,191476.56
P100062,Home & Kitchen,1568.74,827.34,1776.39,31.9,30042.21,Spring,0,364,571021.36,269869.6
P100063,Groceries,332.5,248.38,288.01,12.1,10778.0,Winter,0,398,132335.0,33479.76
P100064,Home & Kitchen,1884.41,975.48,1974.97,27.5,26818.85,Winter,0,270,508790.7,245411.1
P100065,Fashion,2175.71,1009.37,2074.07,0.1,49003.05,Summer,0,108,234976.68,125964.72
P100066,Groceries,643.88,428.71,556.27,13.3,2653.54,Monsoon,1,384,247249.92,82625.28
P100067,Home & Kitchen,3209.37,1717.19,3012.27,33.6,25420.47,Winter,1,230,738155.1,343201.4
P100068,Electronics,2825.1,1856.75,2529.97,6.0,7345.27,Summer,0,176,497217.6,170429.6
P100069,Home & Kitchen,2024.37,1198.68,2318.03,14.1,29328.86,Summer,0,260,526336.2,214679.4
P100070,Sports,2149.45,1083.89,2428.06,0.0,12422.71,Monsoon,0,89,191301.05,94834.84
P100071,Fashion,2328.02,1144.53,2274.07,0.9,45174.19,Spring,1,114,265394.28,134917.86
P100072,Home & Kitchen,1402.84,812.59,1336.99,5.8,16240.55,Monsoon,0,202,283373.68,119230.5
P100073,Electronics,4060.76,2817.2,4115.94,4.1,47936.48,Monsoon,0,136,552263.36,169124.16
P100074,Sports,1802.95,948.77,1936.63,19.6,704.67,Summer,0,140,252413.0,119585.2
P100075,Home & Kitchen,883.65,510.43,786.56,36.0,41689.68,Spring,0,444,392340.6,165709.68
P100076,Fashion,2379.59,1105.98,2300.62,3.4,13453.34,Winter,0,70,166571.3,89152.7
P100077,Fashion,2037.02,891.49,2329.54,34.8,10480.31,Winter,0,144,293330.88,164956.32
P100078,Beauty,440.06,146.51,477.97,26.7,44265.21,Winter,0,514,226190.84,150884.7
P100079,Sports,2294.14,1161.4,2184.94,6.8,15566.51,Summer,0,115,263826.1,130265.1
P100080,Groceries,227.28,148.14,231.78,11.6,29401.98,Summer,0,738,167732.64,58405.32
P100081,Home & Kitchen,1779.46,1057.57,1769.44,7.8,36970.59,Spring,0,259,460880.14,186969.51
P100082,Electronics,3735.63,2468.79,3694.51,31.6,21250.49,Monsoon,0,158,590229.54,200160.72
P100083,Sports,1956.16,996.86,1992.41,29.0,5516.23,Summer,1,216,422530.56,207208.8
P100084,Beauty,1159.22,382.05,1248.23,12.2,46155.68,Winter,0,147,170405.34,114243.99
P100085,Sports,2319.66,1097.58,2334.3,2.2,32551.29,Monsoon,1,147,340990.02,179645.76
P100086,Electronics,2749.51,1787.39,3057.13,6.7,44673.67,Summer,0,285,783610.35,274204.2
P100087,Fashion,1393.39,619.26,1461.78,25.2,38502.47,Spring,1,401,558749.39,310426.13
P100088,Sports,2654.29,1290.79,2851.77,3.6,38812.09,Summer,0,108,286663.32,147258.0
P100089,Sports,1774.09,943.5,1740.08,21.5,29699.18,Monsoon,0,164,290950.76,136216.76
P100090,Home & Kitchen,1849.43,962.74,2105.88,24.5,806.6,Spring,0,164,303306.52,145417.16
P100091,Sports,976.67,535.44,973.87,27.5,44191.59,Summer,0,318,310581.06,140311.14
P100092,Groceries,221.16,140.88,254.15,5.0,41630.75,Summer,0,896,198159.36,71930.88
P100093,Home & Kitchen,1980.58,1168.53,2067.41,18.4,36486.94,Monsoon,1,269,532776.02,218441.45
P100094,Groceries,439.49,303.31,391.51,18.5,43968.89,Summer,0,569,250069.81,77486.42
P100095,Fashion,2106.24,854.35,1821.09,33.4,9618.3,Winter,1,136,286448.64,170257.04
P100096,Fashion,937.01,384.31,1031.2,18.7,14452.01,Summer,0,332,311087.32,183496.4
P100097,Sports,1388.08,679.02,1493.12,16.3,8277.51,Winter,0,169,234585.52,119831.14
P100098,Beauty,895.78,288.67,761.71,4.9,32507.63,Monsoon,1,196,175572.88,118993.56
P100099,Electronics,4057.0,2493.83,4439.89,27.8,22200.4,Winter,0,171,693747.0,267302.07
P100100,Sports,727.1,364.73,710.47,24.8,5580.88,Summer,0,267,194135.7,96752.79
P100101,Fashion,1472.94,610.19,1493.02,28.7,28994.03,Spring,0,240,353505.6,207060.0
P100102,Sports,2792.83,1328.88,3011.97,26.3,17279.79,Monsoon,0,94,262526.02,137611.3
P100103,Electronics,3110.84,1885.72,3137.72,35.0,24780.14,Monsoon,0,250,777710.0,306280.0
P100104,Sports,1482.31,697.25,1563.51,35.1,13438.4,Monsoon,0,180,266815.8,141310.8
P100105,Sports,2556.15,1295.45,2629.07,12.3,8476.86,Summer,0,100,255615.0,126070.0
P100106,Sports,2840.65,1298.41,2734.42,7.3,22815.31,Monsoon,0,67,190323.55,103330.08
P100107,Beauty,953.82,329.91,890.68,37.1,11694.34,Winter,0,158,150703.56,98577.78
P100108,Home & Kitchen,2762.02,1645.9,2856.78,28.5,20548.17,Monsoon,0,148,408778.96,165185.76
P100109,Sports,1270.48,664.84,1366.04,38.8,19422.63,Monsoon,1,304,386225.92,184114.56
P100110,Fashion,2328.84,1025.66,2060.92,19.9,47051.04,Spring,0,101,235212.84,131621.18
P100111,Sports,645.23,297.34,677.05,38.5,9748.81,Spring,0,317,204537.91,110281.13
P100112,Beauty,1109.74,395.55,1212.08,4.9,14678.9,Winter,1,165,183107.1,117841.35
P100113,Home & Kitchen,3433.26,1962.43,3259.46,23.6,39697.28,Summer,1,219,751883.94,322111.77
P100114,Beauty,1215.01,457.77,1270.07,19.9,15145.19,Monsoon,0,104,126361.04,78752.96
P100115,Beauty,669.06,211.58,724.28,0.1,24273.02,Summer,0,202,135150.12,92410.96
P100116,Electronics,3887.02,2283.33,4410.72,7.7,38216.38,Monsoon,0,165,641358.3,264608.85
P100117,Electronics,3974.77,2738.99,3807.19,6.1,717.19,Spring,1,130,516720.1,160651.4
P100118,Fashion,1614.0,695.35,1600.25,2.4,47849.67,Summer,0,189,305046.0,173624.85
P100119,Electronics,4013.64,2363.84,4196.75,37.9,23410.24,Spring,0,156,626127.84,257368.8
P100120,Home & Kitchen,1668.15,900.38,1784.86,38.6,38092.76,Spring,0,359,598865.85,275629.43
P100121,Sports,2408.57,1098.65,2630.09,35.7,46079.96,Spring,0,193,464854.01,252814.56
P100122,Beauty,1071.87,341.04,1177.89,39.6,43901.81,Winter,0,231,247601.97,168821.73
P100123,Home & Kitchen,2929.82,1742.85,2649.01,33.2,11408.76,Summer,1,175,512718.5,207719.75
P100124,Groceries,623.92,475.23,573.76,37.3,27981.77,Winter,0,491,306344.72,73006.79
P100125,Beauty,210.58,77.29,180.97,7.9,20827.41,Winter,0,463,97498.54,61713.27
P100126,Electronics,4050.8,2821.91,4289.02,10.3,26851.95,Winter,1,172,696737.6,211369.08
P100127,Sports,1900.2,894.67,1837.45,34.5,39091.72,Summer,0,192,364838.4,193061.76
P100128,Beauty,1190.3,440.8,1251.6,19.2,18046.72,Winter,0,122,145216.6,91439.0
P100129,Beauty,1179.38,374.35,1014.61,28.7,24121.88,Summer,0,131,154498.78,105458.93
P100130,Beauty,1461.66,538.35,1649.54,22.5,30594.97,Spring,1,122,178322.52,112643.82
P100131,Beauty,392.92,139.15,384.33,12.2,13892.89,Spring,0,382,150095.44,96940.14
P100132,Electronics,3252.09,2070.25,3260.4,11.4,30526.93,Spring,1,277,900828.93,327369.68
P100133,Beauty,327.85,110.61,310.08,29.9,7871.16,Winter,0,474,155400.9,102971.76
P100134,Sports,2313.29,1247.83,2151.01,21.3,31271.49,Monsoon,0,108,249835.32,115069.68
P100135,Fashion,1683.23,742.41,1498.15,14.4,7589.97,Monsoon,0,116,195254.68,109135.12
P100136,Beauty,1394.46,502.97,1257.78,24.7,38895.17,Winter,0,116,161757.36,103412.84
P100137,Electronics,3874.04,2724.73,3543.66,16.8,10104.05,Spring,0,104,402900.16,119528.24
P100138,Home & Kitchen,2389.85,1192.37,2100.64,19.0,32482.86,Summer,1,310,740853.5,371218.8
P100139,Home & Kitchen,3049.45,1604.7,3391.28,27.1,29269.29,Spring,0,184,561098.8,265834.0
P100140,Groceries,501.91,356.26,571.92,18.3,21553.91,Winter,0,551,276552.41,80253.15
P100141,Fashion,1704.75,752.73,1734.16,38.0,32450.24,Monsoon,1,244,415959.0,232292.88
P100142,Fashion,2087.91,911.55,2006.93,19.4,42402.54,Winter,0,136,283955.76,159984.96
P100143,Home & Kitchen,1776.9,898.31,1786.89,38.5,6448.37,Spring,0,232,412240.8,203832.88
P100144,Groceries,733.34,503.82,835.05,33.9,33983.23,Monsoon,0,511,374736.74,117284.72
P100145,Groceries,624.18,449.75,629.55,35.6,20801.14,Winter,0,533,332687.94,92971.19
P100146,Electronics,4720.24,2857.13,4231.61,30.5,33859.27,Winter,1,146,689155.04,272014.06
P100147,Fashion,576.66,260.21,501.72,24.2,43814.37,Summer,1,632,364449.12,199996.4
P100148,Sports,1332.19,615.25,1143.65,21.3,32815.46,Winter,0,189,251783.91,135501.66
P100149,Electronics,2204.35,1521.67,1980.53,22.1,8411.46,Winter,1,425,936848.75,290139.0
P100150,Groceries,401.69,278.19,409.46,8.1,21098.64,Spring,0,554,222536.26,68419.0
P100151,Fashion,1184.84,579.63,1239.43,8.6,27697.71,Spring,1,307,363745.88,185799.47
P100152,Groceries,346.24,242.99,358.59,1.4,6780.41,Monsoon,1,533,184545.92,55032.25
P100153,Fashion,2366.69,1069.87,2177.41,29.8,32358.75,Spring,0,115,272169.35,149134.3
P100154,Home & Kitchen,1894.18,1017.56,2113.64,5.0,35805.47,Monsoon,0,234,443238.12,205129.08
P100155,Beauty,600.29,201.99,632.27,23.3,38244.51,Winter,1,579,347567.91,230615.7
P100156,Electronics,4349.57,3033.94,4203.32,5.5,6435.16,Monsoon,0,81,352315.17,106566.03
P100157,Beauty,968.68,334.99,1061.61,2.7,35404.63,Winter,0,161,155957.48,102024.09
P100158,Beauty,1438.29,502.14,1269.36,21.3,18626.1,Spring,0,65,93488.85,60849.75
P100159,Sports,317.66,161.77,321.71,34.9,10955.79,Summer,0,262,83226.92,40843.18
P100160,Groceries,719.02,522.65,636.92,14.2,26455.13,Winter,0,345,248061.9,67747.65
P100161,Beauty,1062.18,356.44,1215.82,36.8,28849.59,Summer,0,265,281477.7,187021.1
P100162,Home & Kitchen,1405.78,810.45,1209.88,0.4,23109.82,Monsoon,0,184,258663.52,109540.72
P100163,Home & Kitchen,2600.89,1402.34,2760.22,18.6,42121.83,Spring,0,227,590402.03,272070.85
P100164,Home & Kitchen,1339.56,745.38,1189.48,5.9,8211.94,Monsoon,0,201,269251.56,119430.18
P100165,Sports,2446.84,1212.18,2637.22,12.6,20654.1,Winter,0,130,318089.2,160505.8
P100166,Fashion,2426.71,1161.96,2620.63,0.9,13717.31,Spring,0,65,157736.15,82208.75
P100167,Fashion,1573.63,747.72,1764.26,1.4,2915.61,Spring,0,129,202998.27,106542.39
P100168,Home & Kitchen,1727.86,933.84,1545.65,28.5,17283.67,Summer,0,281,485528.66,223119.62
P100169,Electronics,2386.31,1525.61,2508.81,26.2,36044.75,Monsoon,0,346,825663.26,297802.2
P100170,Electronics,3396.76,2420.97,3203.17,8.3,26400.83,Spring,0,135,458562.6,131731.65
P100171,Electronics,2492.23,1526.44,2761.81,36.0,21227.95,Summer,0,355,884741.65,342855.45
P100172,Sports,2832.98,1451.26,2957.82,27.5,23997.89,Winter,0,116,328625.68,160279.52
P100173,Sports,2657.94,1302.79,2807.54,13.4,15968.84,Winter,1,120,318952.8,162618.0
P100174,Sports,2355.35,1170.78,2223.41,16.3,6547.09,Monsoon,0,78,183717.3,92396.46
P100175,Home & Kitchen,2047.39,1020.9,1867.93,11.7,29726.27,Spring,1,272,556890.08,279205.28
P100176,Sports,1157.37,634.16,1319.48,33.2,40861.93,Monsoon,0,292,337952.04,152777.32
P100177,Electronics,4347.26,2606.17,4472.35,19.8,39558.14,Monsoon,0,139,604269.14,242011.51
P100178,Groceries,790.78,596.46,752.2,5.4,12050.42,Summer,0,324,256212.72,62959.68
P100179,Beauty,507.7,171.59,443.83,8.1,21997.24,Summer,0,279,141648.3,93774.69
P100180,Groceries,542.85,377.64,462.61,11.9,27830.05,Winter,0,405,219854.25,66910.05
P100181,Electronics,2111.49,1501.85,2082.38,16.1,40221.38,Summer,1,478,1009292.22,291407.92
P100182,Home & Kitchen,2963.43,1487.65,2554.56,23.7,10227.11,Monsoon,1,155,459331.65,228745.9
P100183,Sports,1045.78,502.77,895.38,38.6,7045.47,Spring,0,202,211247.56,109688.02
P100184,Home & Kitchen,2445.98,1222.85,2804.02,10.5,46615.37,Spring,1,329,804727.42,402409.77
P100185,Home & Kitchen,2110.59,1232.73,2205.9,13.1,7713.13,Spring,0,195,411565.05,171182.7
P100186,Electronics,4103.42,2537.27,3883.59,1.0,49460.93,Winter,0,138,566271.96,216128.7
P100187,Home & Kitchen,731.16,368.63,819.73,14.9,30149.19,Spring,1,531,388245.96,192503.43
P100188,Fashion,1030.05,455.87,950.56,27.0,25200.42,Winter,0,234,241031.7,134358.12
P100189,Fashion,2188.24,933.43,2060.78,38.5,9852.52,Monsoon,0,99,216635.76,124226.19
P100190,Sports,1173.78,549.12,1030.45,29.6,43095.07,Spring,0,284,333353.52,177403.44
P100191,Beauty,319.16,120.44,346.36,4.7,9022.17,Spring,0,318,101492.88,63192.96
P100192,Beauty,613.38,210.73,534.01,35.6,20362.76,Monsoon,0,276,169292.88,111131.4
P100193,Home & Kitchen,705.36,374.94,630.32,33.5,2877.71,Summer,0,375,264510.0,123907.5
P100194,Groceries,592.04,401.84,554.57,7.6,1616.12,Monsoon,0,301,178204.04,57250.2
P100195,Electronics,3204.53,1886.49,2832.86,37.4,36614.03,Monsoon,1,271,868427.63,357188.84
P100196,Home & Kitchen,1573.74,875.33,1713.27,28.6,10783.27,Monsoon,1,324,509891.76,226284.84
P100197,Electronics,2795.15,1778.02,2837.14,31.3,30239.15,Summer,0,301,841340.15,306156.13
P100198,Home & Kitchen,572.7,317.22,502.57,18.4,36308.52,Summer,0,396,226789.2,101170.08
P100199,Groceries,405.96,308.52,401.16,8.0,24843.44,Monsoon,0,435,176592.6,42386.4
P100200,Home & Kitchen,1175.18,661.25,1046.68,32.0,32993.35,Winter,0,364,427765.52,187070.52
P100201,Groceries,515.4,387.28,444.43,19.1,12436.85,Spring,0,368,189667.2,47148.16
P100202,Home & Kitchen,3352.64,1853.42,3729.23,38.7,40984.17,Winter,0,188,630296.32,281853.36
P100203,Sports,1981.95,898.29,2136.71,6.1,10708.58,Spring,1,149,295310.55,161465.34
P100204,Home & Kitchen,1149.33,631.28,1038.29,14.2,29735.37,Winter,0,252,289631.16,130548.6
P100205,Fashion,2270.84,926.16,1961.94,29.4,41875.23,Monsoon,0,120,272500.8,161361.6
P100206,Sports,2293.01,1177.11,2132.65,22.9,39763.43,Summer,0,153,350830.53,170732.7
P100207,Groceries,559.37,417.41,529.75,17.3,3037.85,Monsoon,1,513,286956.81,72825.48
P100208,Fashion,1024.29,419.97,1018.61,28.1,18675.53,Summer,0,294,301141.26,177670.08
P100209,Sports,1487.24,687.91,1339.98,29.3,42702.64,Spring,1,276,410478.24,220615.08
P100210,Fashion,1941.69,824.67,2139.91,23.1,42621.54,Winter,1,257,499014.33,287074.14
P100211,Sports,1556.01,834.34,1487.59,12.8,32002.26,Spring,0,166,258297.66,119797.22
P100212,Sports,1890.54,966.31,1613.67,24.8,5872.29,Monsoon,0,125,236317.5,115528.75
P100213,Home & Kitchen,2898.23,1648.29,3162.96,21.8,20511.23,Spring,0,159,460818.57,198740.46
P100214,Sports,913.23,483.33,935.19,31.9,48077.03,Winter,0,424,387209.52,182277.6
P100215,Fashion,2397.47,1160.24,2117.08,26.1,5773.67,Winter,0,69,165425.43,85368.87
P100216,Electronics,4881.38,3484.66,4702.97,19.9,40169.47,Summer,0,98,478375.24,136878.56
P100217,Electronics,2876.19,1996.88,3275.57,0.7,21182.13,Summer,1,307,882990.33,269948.17
P100218,Home & Kitchen,2476.94,1305.62,2783.61,6.7,37364.67,Spring,0,233,577127.02,272917.56
P100219,Groceries,796.24,522.24,739.45,13.5,3188.41,Spring,0,274,218169.76,75076.0
P100220,Electronics,2635.11,1574.54,2826.75,24.1,1010.57,Summer,0,215,566548.65,228022.55
P100221,Home & Kitchen,876.47,477.84,754.93,31.7,15381.11,Spring,0,266,233141.02,106035.58
P100222,Sports,2917.39,1519.87,2868.46,38.4,43573.9,Winter,0,138,402599.82,192857.76
P100223,Fashion,1307.58,541.98,1177.25,24.0,34150.09,Monsoon,0,190,248440.2,145464.0
P100224,Sports,1048.92,550.92,957.22,29.2,30785.28,Winter,0,225,236007.0,112050.0
P100225,Fashion,571.18,273.76,613.1,24.9,49885.13,Monsoon,0,522,298155.96,155253.24
P100226,Sports,2944.8,1614.57,3196.86,17.2,17691.14,Summer,0,103,303314.4,137013.69
P100227,Beauty,1050.15,351.17,958.2,24.4,42587.49,Summer,0,168,176425.2,117428.64
P100228,Beauty,1432.35,501.96,1285.28,16.0,5928.44,Summer,0,69,98832.15,64196.91
P100229,Fashion,2150.39,959.4,2239.49,18.1,8950.97,Summer,1,131,281701.09,156019.69
P100230,Home & Kitchen,1112.11,603.33,1257.72,36.4,24165.79,Spring,0,429,477095.19,218266.62
P100231,Groceries,354.29,262.89,395.28,22.6,47994.23,Spring,1,1149,407079.21,105018.6
P100232,Electronics,3294.39,2081.33,2933.88,4.0,35318.44,Summer,0,179,589695.81,217137.74
P100233,Sports,583.38,297.15,623.74,21.0,6070.25,Summer,0,273,159262.74,78140.79
P100234,Home & Kitchen,589.98,315.06,598.81,38.1,47767.91,Monsoon,0,521,307379.58,143233.32
P100235,Sports,1843.08,886.32,1942.42,4.0,38403.06,Monsoon,1,199,366772.92,190395.24
P100236,Beauty,236.09,76.58,212.66,38.8,36962.06,Winter,0,588,138820.92,93791.88
P100237,Home & Kitchen,590.65,357.14,611.09,39.5,27798.71,Monsoon,0,437,258114.05,102043.87
P100238,Fashion,1814.61,840.34,1650.93,22.4,19979.88,Spring,0,131,237713.91,127629.37
P100239,Beauty,735.04,260.58,813.89,13.3,5939.93,Spring,0,213,156563.52,101059.98
P100240,Electronics,2906.73,1903.14,2955.62,0.3,31179.75,Monsoon,0,201,584252.73,201721.59
P100241,Beauty,1234.84,461.65,1295.24,0.6,6820.68,Summer,1,110,135832.4,85050.9
P100242,Electronics,4183.43,2880.41,4652.64,15.5,29702.3,Summer,0,156,652615.08,203271.12
P100243,Beauty,1329.87,463.67,1518.1,31.3,27212.61,Monsoon,1,144,191501.28,124732.8
P100244,Beauty,1306.23,412.89,1197.48,37.7,30027.96,Summer,1,160,208996.8,142934.4
P100245,Electronics,2090.48,1275.19,2365.94,6.2,41425.82,Winter,1,551,1151854.48,449224.79
P100246,Sports,2603.43,1328.41,2941.37,19.5,20853.3,Monsoon,1,143,372290.49,182327.86
P100247,Home & Kitchen,3162.13,1879.34,3483.47,20.1,22111.6,Winter,0,143,452184.59,183438.97
P100248,Sports,591.65,297.48,555.8,15.2,3469.0,Spring,0,195,115371.75,57363.15
P100249,Electronics,4076.17,2432.73,4603.87,21.6,14743.12,Summer,0,153,623654.01,251446.32
P100250,Fashion,1992.26,832.65,1795.77,37.0,4510.6,Summer,1,156,310792.56,180899.16
P100251,Home & Kitchen,3439.0,1957.75,3615.95,17.5,7517.03,Winter,0,112,385168.0,165900.0
P100252,Fashion,1786.04,850.98,1555.89,5.5,21626.44,Winter,1,144,257189.76,134648.64
P100253,Fashion,1281.41,529.32,1095.98,26.6,20656.09,Spring,0,214,274221.74,160947.26
P100254,Beauty,1199.56,453.71,1088.04,1.3,46824.95,Monsoon,0,106,127153.36,79060.1
P100255,Electronics,3266.33,2222.33,3577.07,37.6,6406.34,Spring,0,203,663064.99,211932.0
P100256,Sports,1925.02,906.22,1808.47,37.6,7890.48,Spring,0,144,277202.88,146707.2
P100257,Electronics,4351.81,2557.9,4060.88,3.7,37667.88,Winter,0,110,478699.1,197330.1
P100258,Fashion,2425.52,1096.51,2369.19,22.0,1608.73,Summer,0,80,194041.6,106320.8
P100259,Beauty,399.17,146.72,359.08,31.9,32721.85,Spring,0,407,162462.19,102747.15
P100260,Sports,625.89,300.94,674.45,18.6,37504.28,Summer,0,339,212176.71,110158.05
P100261,Fashion,1707.06,707.19,1506.24,19.2,31634.86,Monsoon,1,203,346533.18,202973.61
P100262,Fashion,1503.1,724.43,1409.36,38.8,14746.35,Monsoon,0,184,276570.4,143275.28
P100263,Groceries,511.48,358.79,447.95,9.2,5627.56,Monsoon,0,346,176972.08,52830.74
P100264,Groceries,113.62,74.26,106.92,21.1,49711.62,Spring,0,958,108847.96,37706.88
P100265,Beauty,623.75,238.77,686.31,4.6,43038.04,Spring,0,321,200223.75,123578.58
P100266,Home & Kitchen,3286.75,1894.37,3744.14,12.1,36666.51,Monsoon,0,140,460145.0,194933.2
P100267,Home & Kitchen,1564.6,924.65,1761.02,34.0,9758.5,Monsoon,0,282,441217.2,180465.9
P100268,Beauty,943.94,350.58,896.26,28.7,21830.04,Summer,0,193,182180.42,114518.48
P100269,Beauty,331.67,124.45,341.46,24.5,35636.08,Winter,0,557,184740.19,115421.54
P100270,Fashion,1568.65,718.37,1744.62,4.6,5520.9,Monsoon,0,128,200787.2,108835.84
P100271,Electronics,3001.69,1957.16,3120.66,34.0,47887.73,Winter,1,457,1371772.33,477350.21
